filename,class,content_hash,split,duplicate_count
2022-06-08 14_08_42-Window.jpg,Astrocitoma T1,1ee42f715bc7ec3488763dcc60f3c503a0efe380909be93b5352a835deacf48d,train,1
5dd45cbce898b8de1223d43f630138_big_gallery.jpg,Astrocitoma T1,8745323506c4e1a84f924ae6539ce4d60a8998f9261290e6c1cf08a596454d65,train,1
f03800855635d6119a5f08f1576a46_big_gallery.jpeg,Astrocitoma T1,9ed70a1e7cdce2a3634c9fe4ecbfc5afe30c5a19499798458005c4e7b93fb1a7,train,1
astro_infraT (19).jpeg,Astrocitoma T1,e5b0a4e1e1a405ec7a1d4100d6aad501334a4011fed4a290efb7a66bfb03e343,train,1
astro_infraT (7).jpg,Astrocitoma T1,34e46be87566c11d1705ae329ff699e33fb2f7f90f8baa5f81b1da3db6b6e0e6,train,1
48d4d49cf6219a4fcc1d25f4b5d620_big_gallery.jpeg,Astrocitoma T1,5abedd174db6613c4311400138bcb0223c917300fdea98e48d5197a2ab89b0f0,train,1
e57ee7b7e9fb01a4fde9fbe8b58c65_big_gallery.jpeg,Astrocitoma T1,6cf1e2e00cff5bc70d27b6829f5190f462dc17038d2fe964df9ccdc90be58cb8,train,1
01809e58d2c1e7fff56cc5d8520f5a0500e22624a400948250b05f2ae0a1f177_big_gallery.jpeg,Astrocitoma T1,77608fc507a6d496ec7c1497a665999e893f74c5ef85106326ef4620d044d711,train,1
fbcf8cb4dd01aa28f76ce84f25e547_big_gallery.jpeg,Astrocitoma T1,86e7b6b4f0f3b47b1a33be01c8bc631c98a398d963f90a54e12c800da21d2b1a,train,1
64750f7d7ab568cc3b88d04cc9028ad90296e5b7e979e3bc41edb270b34080fd_big_gallery.jpeg,Astrocitoma T1,bbe400b5bd23229b832cac8a0a53f33228a4c8b06ff521d54e0c988488e1f5f5,train,1
astro_infraT (3).jpg,Astrocitoma T1,f35251e118f762525da14cec3e61010d290bef6ba0a4235251d8223242b03ca9,train,1
bd4d75c923746aba971e0774851a81_big_gallery.jpeg,Astrocitoma T1,6996d08eea50d0a909c41cd8d95eafd28a018697cdab9d6563f9311bd9922cab,train,1
f171a4d824355b3c61fde111a79a08_big_gallery.jpeg,Astrocitoma T1,e55d1df249deec811800ec779aeebe4ec94aedb4010fa4132c37d6c8340a6d38,train,1
d2975582193f17c4832270cf3659353c37ff2e2074edb5708dc527ce4d6bcc78_big_gallery.jpeg,Astrocitoma T1,4c4fb7428451a9afe07e978e3d88cefaf9fb6f430399138be35dd54926c9f810,train,1
6669a4ee5200b5dad7fd98abed28f2_big_gallery.jpg,Astrocitoma T1,6fcedf3771395d07d8798300338f3d4274689ed9bb74a4b6de659cc2d1d64d3f,train,1
2022-06-07 13_30_11-Window.jpg,Astrocitoma T1,d1832f44ec0e38a918198a11bec1393fe4ba068fe1b3ae153eed7a1ba6645c3a,train,1
b2a4200ac754e2bb6da243297b41d2_big_gallery.jpeg,Astrocitoma T1,27a15df7388b721541b6f56e51ad0362e96548a8db6fd9a2ac51ec17ad159cec,train,1
9cd1d55e9db67b7409a0a455ce8b814364b75b5dca4c3e348ce91839b57756bb_big_gallery.jpeg,Astrocitoma T1,20a3a607e8ad212faa789507f7d903e9c6109b0bb87d3dbce972efbc64d16c01,train,1
681b1ad8514075a0b0f80a2b59d8e6_big_gallery.jpeg,Astrocitoma T1,64a8f291ae3bd920e1977ac1d8b6c845eb6f6522dcdbf951adeec2a76b8c54e7,train,1
astro_infraT (12).jpeg,Astrocitoma T1,424be9421c182b8cb85f756df1969c8efdf6d6029be0a1a56ac33d31310ce31f,train,1
